Ticker,Type,Market Cap,Percentile,Cap Category,Type_Cap_Category
MMM,Value,55413571584,0.68389662027833,Large Cap,Value Large Cap
AOS,Growth,12267479040,0.10337972166998012,Small Cap,Growth Small Cap
ABT,Value,177772789760,0.9145129224652088,Large Cap,Value Large Cap
ABBV,Blend,284728885248,0.9502982107355865,Large Cap,Blend Large Cap
ACN,Blend,177483923456,0.9105367793240556,Large Cap,Blend Large Cap
ADBE,Growth,199252492288,0.9284294234592445,Large Cap,Growth Large Cap
AMD,Growth,269762134016,0.9443339960238568,Large Cap,Growth Large Cap
AES,Blend,15343300608,0.1749502982107356,Small Cap,Blend Small Cap
AFL,Value,51066114048,0.6620278330019881,Mid Cap,Value Mid Cap
A,Value,38025990144,0.5308151093439364,Mid Cap,Value Mid Cap
APD,Value,59289014272,0.6998011928429424,Large Cap,Value Large Cap
ABNB,Blend,92007940096,0.8031809145129225,Large Cap,Blend Large Cap
AKAM,Growth,14049719296,0.15308151093439365,Small Cap,Growth Small Cap
ALB,Value,14407634944,0.1610337972166998,Small Cap,Value Small Cap
ARE,Value,20811077632,0.31610337972166996,Small Cap,Value Small Cap
ALGN,Growth,19363205120,0.28429423459244535,Small Cap,Growth Small Cap
ALLE,Growth,10652026880,0.06958250497017893,Small Cap,Growth Small Cap
LNT,Blend,13200955392,0.12922465208747516,Small Cap,Blend Small Cap
ALL,Value,44211044352,0.5904572564612326,Mid Cap,Value Mid Cap
GOOGL,Growth,2139948711936,0.9920477137176938,Large Cap,Growth Large Cap
GOOG,Growth,2139951595520,0.9940357852882704,Large Cap,Growth Large Cap
MO,Value,79440388096,0.7733598409542743,Large Cap,Value Large Cap
AMZN,Growth,1836140462080,0.9900596421471173,Large Cap,Growth Large Cap
AMCR,Blend,14699108352,0.16699801192842942,Small Cap,Blend Small Cap
AEE,Value,19565578240,0.29025844930417494,Small Cap,Value Small Cap
AAL,Blend,7545034752,0.013916500994035786,Small Cap,Blend Small Cap
AEP,Value,47572758528,0.6302186878727635,Mid Cap,Value Mid Cap
AXP,Blend,172632719360,0.9065606361829026,Large Cap,Blend Large Cap
AIG,Value,52310310912,0.6719681908548708,Large Cap,Value Large Cap
AMT,Blend,91405688832,0.7992047713717694,Large Cap,Blend Large Cap
AWK,Value,25477005312,0.39363817097415504,Mid Cap,Value Mid Cap
AMP,Blend,43366240256,0.5864811133200796,Mid Cap,Blend Mid Cap
AME,Blend,39252684800,0.5506958250497018,Mid Cap,Blend Mid Cap
AMGN,Value,164068655104,0.9005964214711729,Large Cap,Value Large Cap
APH,Blend,79501950976,0.7753479125248509,Large Cap,Blend Large Cap
ADI,Blend,116357922816,0.8349900596421471,Large Cap,Blend Large Cap
ANSS,Growth,27713386496,0.4234592445328032,Mid Cap,Growth Mid Cap
AON,Blend,61237272576,0.705765407554672,Large Cap,Blend Large Cap
APA,Growth,11332492288,0.07952286282306163,Small Cap,Growth Small Cap
AAPL,Growth,2947980722176,0.9980119284294234,Large Cap,Growth Large Cap
AMAT,Growth,178080858112,0.9165009940357853,Large Cap,Growth Large Cap
APTV,Value,22651883520,0.3499005964214712,Mid Cap,Value Mid Cap
ACGL,Growth,38536949760,0.5407554671968191,Mid Cap,Growth Mid Cap
ADM,Value,30872709120,0.4572564612326044,Mid Cap,Value Mid Cap
ANET,Growth,93272498176,0.805168986083499,Large Cap,Growth Large Cap
AJG,Blend,55356657664,0.6819085487077535,Large Cap,Blend Large Cap
AIZ,Blend,9017976832,0.04572564612326044,Small Cap,Blend Small Cap
T,Value,130640486400,0.856858846918489,Large Cap,Value Large Cap
ATO,Value,17489659904,0.24652087475149106,Small Cap,Value Small Cap
ADSK,Blend,43125268480,0.5765407554671969,Mid Cap,Blend Mid Cap
ADP,Blend,100243554304,0.8111332007952287,Large Cap,Blend Large Cap
AZO,Blend,47487848448,0.6282306163021869,Mid Cap,Blend Mid Cap
AVB,Value,27396397056,0.4194831013916501,Mid Cap,Value Mid Cap
AVY,Value,18333147136,0.2644135188866799,Small Cap,Value Small Cap
AXON,Growth,21256847360,0.33001988071570576,Small Cap,Growth Small Cap
BKR,Value,33630994432,0.48906560636182905,Mid Cap,Value Mid Cap
BALL,Value,21549543424,0.33399602385685884,Mid Cap,Value Mid Cap
BAC,Value,312736612352,0.9542743538767395,Large Cap,Value Large Cap
BK,Value,44577312768,0.5964214711729622,Mid Cap,Value Mid Cap
BBWI,Blend,11617159168,0.0874751491053678,Small Cap,Blend Small Cap
BAX,Value,17371582464,0.23856858846918488,Small Cap,Value Small Cap
BDX,Value,67040727040,0.731610337972167,Large Cap,Value Large Cap
BRK-B,Blend,896376176640,0.9860834990059643,Large Cap,Blend Large Cap
BBY,Blend,18350977024,0.2664015904572565,Small Cap,Blend Small Cap
BIO,Blend,8147311104,0.02982107355864811,Small Cap,Blend Small Cap
TECH,Blend,12163985408,0.10139165009940358,Small Cap,Blend Small Cap
BIIB,Value,32750587904,0.48111332007952284,Mid Cap,Value Mid Cap
BLK,Value,114723659776,0.8330019880715706,Large Cap,Value Large Cap
BX,Blend,145690525696,0.8846918489065606,Large Cap,Blend Large Cap
BA,Blend,109031940096,0.8250497017892644,Large Cap,Blend Large Cap
BKNG,Growth,128122118144,0.852882703777336,Large Cap,Growth Large Cap
BWA,Blend,8124703232,0.02584493041749503,Small Cap,Blend Small Cap
BXP,Blend,10691084288,0.07157057654075547,Small Cap,Blend Small Cap
BSX,Blend,111101501440,0.8290258449304175,Large Cap,Blend Large Cap
BMY,Value,83293544448,0.7833001988071571,Large Cap,Value Large Cap
AVGO,Growth,615677952000,0.9821073558648111,Large Cap,Growth Large Cap
BR,Growth,23726999552,0.36182902584493043,Mid Cap,Growth Mid Cap
BRO,Growth,25532637184,0.3956262425447316,Mid Cap,Growth Mid Cap
BF-B,Blend,21659815936,0.3379721669980119,Mid Cap,Blend Mid Cap
BLDR,Growth,19625543680,0.294234592445328,Small Cap,Growth Small Cap
BG,Value,15234206720,0.17296222664015903,Small Cap,Value Small Cap
CDNS,Growth,77914685440,0.7713717693836978,Large Cap,Growth Large Cap
CZR,Growth,7682844672,0.019880715705765408,Small Cap,Growth Small Cap
CPT,Blend,10935818240,0.07554671968190854,Small Cap,Blend Small Cap
CPB,Blend,13229811712,0.1312127236580517,Small Cap,Blend Small Cap
COF,Value,52563922944,0.6759443339960238,Large Cap,Value Large Cap
CAH,Value,24178896896,0.3717693836978131,Mid Cap,Value Mid Cap
KMX,Blend,11053796352,0.0775347912524851,Small Cap,Blend Small Cap
CCL,Growth,19754799104,0.2962226640159046,Small Cap,Growth Small Cap
CARR,Blend,56934944768,0.6938369781312127,Large Cap,Blend Large Cap
CTLT,Blend,9734914048,0.04970178926441352,Small Cap,Blend Small Cap
CAT,Blend,165554208768,0.904572564612326,Large Cap,Blend Large Cap
CBOE,Growth,18190592000,0.2584493041749503,Small Cap,Growth Small Cap
CBRE,Value,27021989888,0.415506958250497,Mid Cap,Value Mid Cap
CDW,Blend,30054080512,0.441351888667992,Mid Cap,Blend Mid Cap
CE,Growth,16605807616,0.2147117296222664,Small Cap,Growth Small Cap
COR,Value,44618203136,0.5984095427435387,Mid Cap,Value Mid Cap
CNC,Value,38204432384,0.536779324055666,Mid Cap,Value Mid Cap
CNP,Value,19517980672,0.2882703777335984,Small Cap,Value Small Cap
CF,Growth,14573209600,0.16500994035785288,Small Cap,Growth Small Cap
CHRW,Blend,10113495040,0.061630218687872766,Small Cap,Blend Small Cap
CRL,Blend,10737098752,0.073558648111332,Small Cap,Blend Small Cap
SCHW,Value,133968297984,0.8667992047713717,Large Cap,Value Large Cap
CHTR,Growth,41353891840,0.5685884691848907,Mid Cap,Growth Mid Cap
CVX,Value,296814247936,0.952286282306163,Large Cap,Value Large Cap
CMG,Growth,85959467008,0.7892644135188867,Large Cap,Growth Large Cap
CB,Value,109969440768,0.827037773359841,Large Cap,Value Large Cap
CHD,Growth,26166407168,0.40755467196819084,Mid Cap,Growth Mid Cap
CI,Value,97897578496,0.8091451292246521,Large Cap,Value Large Cap
CINF,Value,18423492608,0.268389662027833,Small Cap,Value Small Cap
CTAS,Blend,68788871168,0.7375745526838966,Large Cap,Blend Large Cap
CSCO,Value,187339669504,0.9224652087475149,Large Cap,Value Large Cap
C,Value,118852591616,0.8409542743538767,Large Cap,Value Large Cap
CFG,Value,16057656320,0.1988071570576541,Small Cap,Value Small Cap
CLX,Value,16338172928,0.20675944333996024,Small Cap,Value Small Cap
CME,Blend,73085992960,0.7514910536779325,Large Cap,Blend Large Cap
CMS,Value,18793101312,0.27435387673956263,Small Cap,Value Small Cap
KO,Blend,271099904000,0.9463220675944334,Large Cap,Blend Large Cap
CTSH,Value,32889714688,0.4831013916500994,Mid Cap,Value Mid Cap
CL,Blend,76268199936,0.7634194831013916,Large Cap,Blend Large Cap
CMCSA,Value,157062905856,0.8906560636182903,Large Cap,Value Large Cap
CMA,Blend,6793758208,0.003976143141153081,Small Cap,Blend Small Cap
CAG,Blend,14284522496,0.1550695825049702,Small Cap,Blend Small Cap
COP,Blend,135618838528,0.8727634194831014,Large Cap,Blend Large Cap
ED,Value,32698701824,0.47912524850894633,Mid Cap,Value Mid Cap
STZ,Value,45786083328,0.610337972166998,Mid Cap,Value Mid Cap
CEG,Blend,68484804608,0.73558648111332,Large Cap,Blend Large Cap
COO,Growth,18779006976,0.27236580516898606,Small Cap,Growth Small Cap
CPRT,Growth,51059531776,0.6600397614314115,Mid Cap,Growth Mid Cap
GLW,Value,31917623296,0.4691848906560636,Mid Cap,Value Mid Cap
CPAY,Growth,18808768512,0.27634194831013914,Small Cap,Growth Small Cap
CTVA,Value,38988836864,0.5467196819085487,Mid Cap,Value Mid Cap
CSGP,Blend,31931271168,0.4711729622266402,Mid Cap,Blend Mid Cap
COST,Blend,359084195840,0.9642147117296223,Large Cap,Blend Large Cap
CTRA,Growth,21225525248,0.32803180914512925,Small Cap,Growth Small Cap
CCI,Value,44538609664,0.5944333996023857,Mid Cap,Value Mid Cap
CSX,Blend,65978888192,0.7236580516898609,Large Cap,Blend Large Cap
CMI,Value,38535032832,0.5387673956262425,Mid Cap,Value Mid Cap
CVS,Value,74820050944,0.757455268389662,Large Cap,Value Large Cap
